2.8594 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
13.1262 	EXP 	window1: blendMode = 'avg'
13.1265 	EXP 	window1: blendMode = 'avg'
13.1424 	EXP 	window1: blendMode = 'avg'
13.1427 	EXP 	window1: blendMode = 'avg'
13.1588 	EXP 	window1: blendMode = 'avg'
13.1591 	EXP 	window1: blendMode = 'avg'
13.1759 	EXP 	window1: blendMode = 'avg'
13.1762 	EXP 	window1: blendMode = 'avg'
13.1923 	EXP 	window1: blendMode = 'avg'
13.1926 	EXP 	window1: blendMode = 'avg'
13.2092 	EXP 	window1: blendMode = 'avg'
13.2095 	EXP 	window1: blendMode = 'avg'
13.2259 	EXP 	window1: blendMode = 'avg'
13.2262 	EXP 	window1: blendMode = 'avg'
13.2425 	EXP 	window1: blendMode = 'avg'
13.2430 	EXP 	window1: blendMode = 'avg'
13.2591 	EXP 	window1: blendMode = 'avg'
13.2594 	EXP 	window1: blendMode = 'avg'
13.2757 	EXP 	window1: blendMode = 'avg'
13.2760 	EXP 	window1: blendMode = 'avg'
13.2921 	EXP 	window1: blendMode = 'avg'
13.2924 	EXP 	window1: blendMode = 'avg'
13.3092 	EXP 	window1: blendMode = 'avg'
13.3095 	EXP 	window1: blendMode = 'avg'
13.3258 	EXP 	window1: blendMode = 'avg'
13.3260 	EXP 	window1: blendMode = 'avg'
13.3424 	EXP 	window1: blendMode = 'avg'
13.3427 	EXP 	window1: blendMode = 'avg'
13.3587 	EXP 	window1: blendMode = 'avg'
13.3589 	EXP 	window1: blendMode = 'avg'
13.3756 	EXP 	window1: blendMode = 'avg'
13.3759 	EXP 	window1: blendMode = 'avg'
13.3923 	EXP 	window1: blendMode = 'avg'
13.3925 	EXP 	window1: blendMode = 'avg'
13.4092 	EXP 	window1: blendMode = 'avg'
13.4094 	EXP 	window1: blendMode = 'avg'
13.4258 	EXP 	window1: blendMode = 'avg'
13.4261 	EXP 	window1: blendMode = 'avg'
13.4425 	EXP 	window1: blendMode = 'avg'
13.4429 	EXP 	window1: blendMode = 'avg'
13.4592 	EXP 	window1: blendMode = 'avg'
13.4595 	EXP 	window1: blendMode = 'avg'
13.4763 	EXP 	window1: blendMode = 'avg'
13.4766 	EXP 	window1: blendMode = 'avg'
13.4930 	EXP 	window1: blendMode = 'avg'
